produit	plateforme(s)	categorie	prix marche EUR	competitors_type	sells_in_search	sells_in_shopping	legal_eu	defendabilite niche	distinct_sources	score broyeur	decision	rejete par hard filter	flags	raison de rejet	angle/notes	sources URLs	recommandation	fichier source	doublon retire
Store banne motorise demi-coffre 4 x 3 m	cdiscount	garden_shade	842	dropshippers_mixed	true	true	true	partial	1	49	reject		margin_ratio_missing	margin_ratio_missing	Creer une terrasse ombragee sans pergola lourde	Cdiscount affiche variantes motorisees 842,50 EUR et coffre integral 1431,55 EUR. Source: https://www.cdiscount.com/jardin/r-store%2Bbanne%2Bmanuel%2Bavec%2Bcoffre%2B4m.html		ideas (1).xlsx	
Table d'examen veterinaire electrique compacte	europages	pet_professional_equipment	1250	few_or_none	true	false	true	yes	1	49	reject		margin_ratio_missing	margin_ratio_missing	Equiper toiletteurs/veterinaires independants avec un achat direct	Signal Europages equipement pro/sante animale; prix marche tables electriques 900-1800 EUR. Source: https://www.europages.fr/entreprises/equipements.html		ideas (1).xlsx	
Tapis de course pliable motorise 3CV	amazon_movers	sport	549	semi_brands	true	true	true	partial	1	49	reject		margin_ratio_missing	score 49 trop faible	Sport maison/outdoor - Search fort (intention achat) + Shopping		rejet évident	ideas.xlsx	
Detecteur radon connecte domestique longue duree	amazon_movers	home_safety	210	few_or_none	true	true	true	yes	1	48	reject		margin_ratio_missing	margin_ratio_missing	Mesurer un risque invisible dans les maisons anciennes	Signal Amazon Maison/Bricolage; prix marche detecteurs radon connectes 180-300 EUR. Source: https://www.amazon.fr/gp/movers-and-shakers/hi		ideas (1).xlsx	
Porte d'entree aluminium triple vitrage sur mesure	europages	home_renovation	1500	semi_brands	true	true	true	yes	1	48	reject		margin_ratio_missing	margin_ratio_missing	Renover l'entree pour isolation, securite et valeur maison	Signal Europages EURADIF/RS Concept; prix marche 1200-2000 EUR hors pose. Sources: https://www.europages.fr/entreprises/france/lille%20et%20nord-pas-de-calais/agencement-sur-mesure-en-bois.html | https://www.europages.fr/entreprises/anthracite.html		ideas (1).xlsx	
Compresseur d'air silent direct drive 50L	vevor	equipment	419	semi_brands	true	true	true	partial	1	46	reject		margin_ratio_missing	score 46 trop faible	Equipement pro/semi-pro - Search fort (probleme/solution)		rejet évident	ideas.xlsx	
Jeu de flechettes electronique professionnel segment led	temu	other	299	dropshippers_mixed	true	true	true	partial	1	46	reject		margin_ratio_missing	source temu - risque achat direct client	Divertissement/jeux - Shopping + Search		rejet évident	ideas.xlsx	
Niche chien isolee thermique grande race XXL	temu	pet	259	dropshippers_mixed	true	true	true	partial	1	46	reject		margin_ratio_missing	source temu - risque achat direct client	Animal compagnie niche - Search fort - Shopping moyen		rejet évident	ideas.xlsx	
Robot lave-vitre avec pulverisation 4 directions	cdiscount	home_cleaning	199	dropshippers_mixed	true	true	true	partial	1	45	reject		margin_ratio_missing	margin_ratio_missing	Nettoyer baies vitrees et veranda sans monter sur escabeau	Cdiscount LIECTROUX S11 compare a 199 EUR, vendu 119 EUR. Sources: https://www.cdiscount.com/maison/r-materiel%2Bde%2Bnettoyage.html | https://www.cdiscount.com/maison/r-vitre%2Bplexiglass.html		ideas (1).xlsx	
Salon de jardin aluminium et corde 6 places DKD	bigbuy	garden_furniture	1310	semi_brands	true	true	true	partial	1	44	reject		margin_ratio_missing	margin_ratio_missing	Salon exterieur premium style hotel pour terrasse familiale	Signal BigBuy/DKD Home Decor; prix marche observe 1200-1600 EUR. Source: https://bigbuy-home-and-decor.myshopify.com/collections/garden-and-terrace/products/table-set-with-chairs-dkd-home-decor-beige-78-cm-163-x-95-x-6-cm		ideas (1).xlsx	
Trampoline 366cm avec filet de securite et echelle	amazon_movers	outdoor	349	semi_brands	true	true	true	partial	1	44	reject		margin_ratio_missing	score 44 trop faible	Loisirs outdoor - Search + Shopping - saisonnier risque		rejet évident	ideas.xlsx	
Voliere interieure XXL pour perroquet africain	bigbuy	pet	389	few_or_none	true	false	true	partial	1	42	reject		margin_ratio_missing	score 42 trop faible	Animal compagnie niche - Search fort - Shopping moyen		rejet évident	ideas.xlsx	
Station meteo sans fil connectee pro 5 capteurs	temu	tech-niche	279	semi_brands	true	true	true	partial	1	38	reject		margin_ratio_missing	source temu - risque achat direct client	Tech niche - Search fort - risque commodity		rejet évident	ideas.xlsx	
Table de cuisine camping pliante aluminium avec rangement	amazon_movers	camping_furniture	220	dropshippers_mixed	true	true	true	partial	1	38	reject		margin_ratio_missing	margin_ratio_missing	Cuisine propre et organisee en camping familial	Signal Amazon Sports/Jardin estival; prix marche cuisines pliantes 180-300 EUR. Source: https://www.amazon.fr/gp/movers-and-shakers/lawn-garden		ideas (1).xlsx	
Ventilateur de plafond DC silencieux avec luminaire 132 cm	amazon_movers	home_cooling	180	dropshippers_mixed	true	true	true	partial	1	38	reject		margin_ratio_missing	margin_ratio_missing	Rafraichir une chambre sans clim ni bruit	Signal Amazon top ventes/canicule; prix marche premium 150-260 EUR. Sources: https://www.bfmtv.com/pratique/maison/au-top-des-ventes-amazon-ce-ventilateur-de-plafond-avec-lumiere-marque-un-tournant-en-cette-periode-de-canicule_AB-202606250018.html | https://www.amazon.fr/ventilateur-plafond/s?k=ventilateur+plafond		ideas (1).xlsx	
Sac de couchage quilt ultralight duvet 0 C	flippa	outdoor_gear	320	semi_brands	true	true	true	partial	1	37	reject		margin_ratio_missing	margin_ratio_missing	Materiel bivouac leger pour randonneurs qui veulent dormir chaud	Flippa inventory holding premium outdoor gear 800k$+ lifetime revenue; prix marche quilts duvet 250-500 EUR. Source: https://flippa.com/buy/sitetype/inventory-holding		ideas (1).xlsx	
Spa de nage mural contre-courant acier inox	cdiscount	wellness	1850	few_or_none	true	false	true	yes	1	36	reject		margin_ratio_missing	score 36 trop faible	Bien-etre maison - audience 35-60 ans CSP+ - Shopping + Search		rejet évident	ideas.xlsx	
